name,value,group,weight
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4291.5,34.7457,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4322.5,34.5996,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4352.5,34.4664,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-22-15_time:4383.5,34.3347,oname:heads.csv_otype:lst_usecol:trgw-0-22-15,2.08126
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3652.5,38.3168,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3683.5,38.2566,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3712.5,38.2356,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3743.5,38.2641,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3773.5,38.3362,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3804.5,38.4435,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3834.5,38.4901,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3865.5,38.457,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3896.5,38.3478,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3926.5,38.0776,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3957.5,37.7529,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:3987.5,37.4768,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4018.5,33.3472,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4049.5,32.408,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4077.5,29.769,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4108.5,31.3293,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4138.5,31.0534,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4169.5,31.977,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4199.5,32.9329,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4230.5,31.6375,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4261.5,33.0924,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4291.5,31.3088,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
